trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
85,False,"{'a': 0.95, 'e': 0.0001417233560090703}",30,0,37.35874986536858,"{0: 29, 1: 0, 2: 1, 3: 0, 4: 0}",0
86,False,"{'a': 0.95, 'e': 0.0001384083044982699}",25,4,31.864950695572073,"{0: 21, 1: 0, 2: 0, 3: 0, 4: 0}",1
87,False,"{'a': 0.95, 'e': 0.00013520822065981613}",30,12,24.387435905924463,"{0: 17, 1: 1, 2: 0, 3: 0, 4: 0}",1
88,False,"{'a': 0.95, 'e': 0.0001321178491214163}",20,6,22.35932617133198,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
89,False,"{'a': 0.95, 'e': 0.00012913223140495868}",25,18,15.232509648778006,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
90,False,"{'a': 0.95, 'e': 0.00012624668602449185}",20,0,7.495512422268488,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",0
91,False,"{'a': 0.95, 'e': 0.0001234567901234568}",20,14,12.331885668409097,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
92,False,"{'a': 0.95, 'e': 0.00012075836251660427}",25,16,17.501498927192337,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
93,False,"{'a': 0.95, 'e': 0.00011814744801512288}",20,0,15.63895354879947,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
94,False,"{'a': 0.95, 'e': 0.00011562030292519366}",20,3,28.302212382627793,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
95,False,"{'a': 0.95, 'e': 0.00011317338162064282}",20,14,-1.8538062192479232,"{0: 5, 1: 0, 2: 1, 3: 0, 4: 0}",1
96,False,"{'a': 0.95, 'e': 0.00011080332409972299}",20,16,6.759496695032828,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
97,False,"{'a': 0.95, 'e': 0.00010850694444444444}",20,0,-33.04510198934996,"{0: 18, 1: 0, 2: 0, 3: 1, 4: 1}",1
98,False,"{'a': 0.95, 'e': 0.00010628122010840685}",25,13,21.12340604587164,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
99,False,"{'a': 0.95, 'e': 0.00010412328196584757}",30,7,14.372972738965263,"{0: 22, 1: 0, 2: 0, 3: 1, 4: 0}",1
100,False,"{'a': 0.95, 'e': 0.00010203040506070809}",25,13,22.54533735880481,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
101,False,"{'a': 0.95, 'e': 0.0001}",25,0,40.8177358175849,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
102,False,"{'a': 0.95, 'e': 9.802960494069208e-05}",25,0,36.10419027672757,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
103,False,"{'a': 0.95, 'e': 9.611687812379854e-05}",25,18,11.143110928137832,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
104,False,"{'a': 0.95, 'e': 9.425959091337543e-05}",20,15,9.597900651366,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
105,False,"{'a': 0.95, 'e': 9.245562130177515e-05}",20,0,13.995961949513,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
106,False,"{'a': 0.95, 'e': 9.070294784580499e-05}",25,19,-1.1995354657599129,"{0: 5, 1: 0, 2: 1, 3: 0, 4: 0}",1
107,False,"{'a': 0.95, 'e': 8.8999644001424e-05}",20,9,-3.476502385806872,"{0: 10, 1: 0, 2: 0, 3: 1, 4: 0}",1
108,False,"{'a': 0.95, 'e': 8.734387282732117e-05}",20,4,-12.627592570965628,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 1}",1
109,False,"{'a': 0.95, 'e': 8.573388203017832e-05}",20,3,28.129038331432167,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
110,False,"{'a': 0.95, 'e': 8.416799932665601e-05}",20,9,21.891325943713376,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
111,False,"{'a': 0.95, 'e': 8.264462809917356e-05}",25,0,-25.370160243896322,"{0: 22, 1: 0, 2: 2, 3: 0, 4: 1}",0
112,False,"{'a': 0.95, 'e': 8.116224332440549e-05}",30,3,41.10240352926872,"{0: 27, 1: 0, 2: 0, 3: 0, 4: 0}",1
113,False,"{'a': 0.95, 'e': 7.971938775510203e-05}",20,16,6.196156049627399,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
